id;id_index;kode_provinsi;nama_provinsi;kab_kota;nama_jembatan;periode_update;kategori;jumlah;satuan;tahun
2490;300267462;35;JAWA TIMUR;KABUPATEN SAMPANG;APAAN;2024-Q2;KONDISI RUSAK SEDANG;1;UNIT;2024
3743;300274980;35;JAWA TIMUR;KABUPATEN SAMPANG;APAAN;2024-Q3;KONDISI RUSAK SEDANG;1;UNIT;2024
4996;300259944;35;JAWA TIMUR;KABUPATEN SAMPANG;APAAN;2024-Q4;KONDISI RUSAK SEDANG;1;UNIT;2024
6249;300282498;35;JAWA TIMUR;KABUPATEN SAMPANG;APAAN;2025-S1;KONDISI RUSAK SEDANG;1;UNIT;2025
7502;300290016;35;JAWA TIMUR;KABUPATEN SAMPANG;APAAN;2025-S2;KONDISI RUSAK SEDANG;1;UNIT;2025
399;300247396;35;JAWA TIMUR;KABUPATEN PASURUAN;ARENG - ARENG;2024-Q1;KONDISI RUSAK BERAT;1;UNIT;2024
1642;300262372;35;JAWA TIMUR;KABUPATEN PASURUAN;ARENG - ARENG;2024-Q2;KONDISI RUSAK BERAT;1;UNIT;2024
2895;300269890;35;JAWA TIMUR;KABUPATEN PASURUAN;ARENG - ARENG;2024-Q3;KONDISI RUSAK BERAT;1;UNIT;2024
4148;300254854;35;JAWA TIMUR;KABUPATEN PASURUAN;ARENG - ARENG;2024-Q4;KONDISI RUSAK BERAT;1;UNIT;2024
5401;300277408;35;JAWA TIMUR;KABUPATEN PASURUAN;ARENG - ARENG;2025-S1;KONDISI RUSAK BERAT;1;UNIT;2025
6654;300284926;35;JAWA TIMUR;KABUPATEN PASURUAN;ARENG - ARENG;2025-S2;KONDISI RUSAK BERAT;1;UNIT;2025
496;300247978;35;JAWA TIMUR;KOTA BATU;ARENG ARENG WETAN;2024-Q1;KONDISI RUSAK BERAT;1;UNIT;2024
1739;300262954;35;JAWA TIMUR;KOTA BATU;ARENG ARENG WETAN;2024-Q2;KONDISI RUSAK BERAT;1;UNIT;2024
2992;300270472;35;JAWA TIMUR;KOTA BATU;ARENG ARENG WETAN;2024-Q3;KONDISI RUSAK BERAT;1;UNIT;2024
4245;300255436;35;JAWA TIMUR;KOTA BATU;ARENG ARENG WETAN;2024-Q4;KONDISI RUSAK BERAT;1;UNIT;2024
5498;300277990;35;JAWA TIMUR;KOTA BATU;ARENG ARENG WETAN;2025-S1;KONDISI RUSAK BERAT;1;UNIT;2025
6751;300285508;35;JAWA TIMUR;KOTA BATU;ARENG ARENG WETAN;2025-S2;KONDISI RUSAK BERAT;1;UNIT;2025
1085;300251513;35;JAWA TIMUR;KABUPATEN JEMBER;ARJASA II;2024-Q1;KONDISI RUSAK RINGAN;1;UNIT;2024
2338;300266549;35;JAWA TIMUR;KABUPATEN JEMBER;ARJASA II;2024-Q2;KONDISI RUSAK RINGAN;1;UNIT;2024
3591;300274067;35;JAWA TIMUR;KABUPATEN JEMBER;ARJASA II;2024-Q3;KONDISI RUSAK RINGAN;1;UNIT;2024
4844;300259031;35;JAWA TIMUR;KABUPATEN JEMBER;ARJASA II;2024-Q4;KONDISI RUSAK RINGAN;1;UNIT;2024
6097;300281585;35;JAWA TIMUR;KABUPATEN JEMBER;ARJASA II;2025-S1;KONDISI RUSAK RINGAN;1;UNIT;2025
7350;300289103;35;JAWA TIMUR;KABUPATEN JEMBER;ARJASA II;2025-S2;KONDISI RUSAK RINGAN;1;UNIT;2025
1094;300251566;35;JAWA TIMUR;KABUPATEN JEMBER;ARJASA V;2024-Q1;KONDISI RUSAK BERAT;1;UNIT;2024
2347;300266602;35;JAWA TIMUR;KABUPATEN JEMBER;ARJASA V;2024-Q2;KONDISI RUSAK BERAT;1;UNIT;2024
3600;300274120;35;JAWA TIMUR;KABUPATEN JEMBER;ARJASA V;2024-Q3;KONDISI RUSAK BERAT;1;UNIT;2024
4853;300259084;35;JAWA TIMUR;KABUPATEN JEMBER;ARJASA V;2024-Q4;KONDISI RUSAK BERAT;1;UNIT;2024
6106;300281638;35;JAWA TIMUR;KABUPATEN JEMBER;ARJASA V;2025-S1;KONDISI RUSAK BERAT;1;UNIT;2025
